window_index,start_time_s,end_time_s,ap_id,x_m,y_m,z_m,source
0,0.0,595.0,movable_ap_01,-62.207860037299724,95.7960088520224,1.5,seed:wall_Blok_B_04_02
0,0.0,595.0,movable_ap_02,111.32505492884587,23.657633741233678,1.5,seed:wall_Blok_L_00_00
0,0.0,595.0,movable_ap_03,18.640529392241856,-64.59942245712723,1.5,seed:wall_Blok_P_00_00
0,0.0,595.0,movable_ap_04,10.716760202292829,-80.996252029929,1.5,seed:wall_Blok_P_00_01
0,0.0,595.0,movable_ap_05,-75.86747467960721,-95.62270908678045,1.5,seed:wall_building_452650244_00_00
0,0.0,595.0,movable_ap_06,99.98089156023681,-43.50118310850955,1.5,seed:wall_building_452653890_01_01
1,600.0,1195.0,movable_ap_01,-62.207860037299724,95.7960088520224,1.5,seed:wall_Blok_B_04_02
1,600.0,1195.0,movable_ap_02,111.32505492884587,23.657633741233678,1.5,seed:wall_Blok_L_00_00
1,600.0,1195.0,movable_ap_03,18.640529392241856,-64.59942245712723,1.5,seed:wall_Blok_P_00_00
1,600.0,1195.0,movable_ap_04,10.716760202292829,-80.996252029929,1.5,seed:wall_Blok_P_00_01
1,600.0,1195.0,movable_ap_05,-75.86747467960721,-95.62270908678045,1.5,seed:wall_building_452650244_00_00
1,600.0,1195.0,movable_ap_06,99.98089156023681,-43.50118310850955,1.5,seed:wall_building_452653890_01_01
2,1200.0,1795.0,movable_ap_01,-62.207860037299724,95.7960088520224,1.5,seed:wall_Blok_B_04_02
2,1200.0,1795.0,movable_ap_02,111.32505492884587,23.657633741233678,1.5,seed:wall_Blok_L_00_00
2,1200.0,1795.0,movable_ap_03,18.640529392241856,-64.59942245712723,1.5,seed:wall_Blok_P_00_00
2,1200.0,1795.0,movable_ap_04,10.716760202292829,-80.996252029929,1.5,seed:wall_Blok_P_00_01
2,1200.0,1795.0,movable_ap_05,-75.86747467960721,-95.62270908678045,1.5,seed:wall_building_452650244_00_00
2,1200.0,1795.0,movable_ap_06,99.98089156023681,-43.50118310850955,1.5,seed:wall_building_452653890_01_01
3,1800.0,2395.0,movable_ap_01,-62.207860037299724,95.7960088520224,1.5,seed:wall_Blok_B_04_02
3,1800.0,2395.0,movable_ap_02,111.32505492884587,23.657633741233678,1.5,seed:wall_Blok_L_00_00
3,1800.0,2395.0,movable_ap_03,18.640529392241856,-64.59942245712723,1.5,seed:wall_Blok_P_00_00
3,1800.0,2395.0,movable_ap_04,10.716760202292829,-80.996252029929,1.5,seed:wall_Blok_P_00_01
3,1800.0,2395.0,movable_ap_05,-75.86747467960721,-95.62270908678045,1.5,seed:wall_building_452650244_00_00
3,1800.0,2395.0,movable_ap_06,99.98089156023681,-43.50118310850955,1.5,seed:wall_building_452653890_01_01
4,2400.0,2995.0,movable_ap_01,-62.207860037299724,95.7960088520224,1.5,seed:wall_Blok_B_04_02
4,2400.0,2995.0,movable_ap_02,111.32505492884587,23.657633741233678,1.5,seed:wall_Blok_L_00_00
4,2400.0,2995.0,movable_ap_03,18.640529392241856,-64.59942245712723,1.5,seed:wall_Blok_P_00_00
4,2400.0,2995.0,movable_ap_04,10.716760202292829,-80.996252029929,1.5,seed:wall_Blok_P_00_01
4,2400.0,2995.0,movable_ap_05,-75.86747467960721,-95.62270908678045,1.5,seed:wall_building_452650244_00_00
4,2400.0,2995.0,movable_ap_06,99.98089156023681,-43.50118310850955,1.5,seed:wall_building_452653890_01_01
5,3000.0,3595.0,movable_ap_01,-62.207860037299724,95.7960088520224,1.5,seed:wall_Blok_B_04_02
5,3000.0,3595.0,movable_ap_02,111.32505492884587,23.657633741233678,1.5,seed:wall_Blok_L_00_00
5,3000.0,3595.0,movable_ap_03,18.640529392241856,-64.59942245712723,1.5,seed:wall_Blok_P_00_00
5,3000.0,3595.0,movable_ap_04,10.716760202292829,-80.996252029929,1.5,seed:wall_Blok_P_00_01
5,3000.0,3595.0,movable_ap_05,-75.86747467960721,-95.62270908678045,1.5,seed:wall_building_452650244_00_00
5,3000.0,3595.0,movable_ap_06,99.98089156023681,-43.50118310850955,1.5,seed:wall_building_452653890_01_01
6,3600.0,3600.0,movable_ap_01,-62.207860037299724,95.7960088520224,1.5,seed:wall_Blok_B_04_02
6,3600.0,3600.0,movable_ap_02,111.32505492884587,23.657633741233678,1.5,seed:wall_Blok_L_00_00
6,3600.0,3600.0,movable_ap_03,18.640529392241856,-64.59942245712723,1.5,seed:wall_Blok_P_00_00
6,3600.0,3600.0,movable_ap_04,10.716760202292829,-80.996252029929,1.5,seed:wall_Blok_P_00_01
6,3600.0,3600.0,movable_ap_05,-75.86747467960721,-95.62270908678045,1.5,seed:wall_building_452650244_00_00
6,3600.0,3600.0,movable_ap_06,99.98089156023681,-43.50118310850955,1.5,seed:wall_building_452653890_01_01
